,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,evacuation,[i?v?kju'ei??n],"n.撤退,撤离"
,evade,[i'veid],v.逃避；规避
,evaluate,[i'v?ljueit],"v.估价,评价;求…的值"
,evaluation,"[i,v?lju'ei??n]",n.评价，评估
,evanescent,"[,i:v?'nesnt]",a.迅速消失的，短暂的
,evaporate,[i'v?p?reit],v.(使某物)蒸发掉
,evaporation,[i?v?p?'rei??n],n.蒸发(作用)
,evasion,[i'vei??n],n.躲避；借口
,evasive,[i'veisiv],a.迥避的，逃避的；托辞的
,eve,[i:v],"n.(节日等的)前夜,前夕"
,even,['i:v?n],a.平的
,even-tempered,['i:v?n'temp?d],a.性情平和的；不易生气的
,evenhanded,"[,iv?n'h?ndid]",a.公平的，不偏不倚的
,evening,['i:vni?],n.傍晚，黄昏，晚上
,event,[i'vent],"n.事件,事情"
,eventful,[i'ventf?l],"a.多事的,充满大事的;意义重大的"
,eventual,[i'ventju?l;i'vent?u?l],a.最终的
,eventually,[i'vent?u?li],"ad.终于,最后"
,ever,['ev?],ad.曾经；永远；在任何时候；究竟
,evergreen,['ev?gri:n;'ev??gri:n],a.常绿的;n.常绿树;常绿植物
,everlasting,"[,ev?'lɑ:sti?]",a.永恒的，持久的，无止境的，耐用的
,every,['evri],a.每一个的，每个的；每隔…的；全部的
,everybody,"['evri,b?di]",pron.(everyone)每人，人人
,everyday,['evridei],adj.每日的，日常的
,everyone,['evriw?n],pron.(everybody)每人，人人，各人
,everything,['evriθi?],pron.每件事，一切；最重要的东西
,everywhere,['evrihwε?],ad.到处，各处，无论何处
,evict,[i'vikt],v.(依法)驱逐
,eviction,[i'vik??n],n.(对房客或佃户的)驱逐
,evidence,['evid?ns],n.明显;显著;根据;证据;迹象
,evident,['evid?nt],"a.明显的,明白的"
,evil,['i:v?l],"a.邪恶的,罪恶的 n.邪恶,罪恶"
,evildoer,[?i:vidu:?],n.坏人，坏蛋
,evince,[i'vins],v.表明，表示，表现出
,eviscerate,[i'vis?reit],v.取出肠及内脏
,evocative,[i'v?k?tiv],a.唤起的，激起的
,evoke,[i'v?uk],v.引起；唤起
,evolution,"[,i:v?'lu:??n, ,ev-]","n.进化,演变,发展,进展"
,evolutionary,[?i:v?'lu:?n?ri;?ev?'lu:??n?eri],"a.发展的,进化的"
,evolve,[i'v?lv],v.使逐渐形成，进化
,ewe,[ju:],n.母羊
,ewer,['ju(:)?],n.大口水罐
,exacerbate,[eks'?s?(:)beit],v.(病、疼痛)加重，恶化
,exact,[iɡ'z?kt],a.精确的；v.强求，强索付款
,exacting,[iɡ'z?kti?],a.苛求的；要求严格的
,exactitude,[iɡ'z?ktitju:d],n.极端的正确性或精确性
,exaggerate,[iɡ'z?d??reit],v.夸张；夸大
,exaggeration,"[iɡ,z?d??'rei??n]",n.夸张
,exalt,[iɡ'z?:lt],v.(高度)赞扬，歌颂
,exaltation,"[,eɡz?:l'tei??n]",n.(成功带来的)得意，高兴
,exalted,[ig'z?:ltid],"a.崇高的,高贵的"
,exam,[iɡ'z?m],"n.(examination)考试,测验"
,examine,[iɡ'z?min],"v.检查,调查;对…进行考试"
,example,[iɡ'zɑ:mpl],"n.例子,实例;模范,榜样"
,exanimate,[ig'z?nimit;ig'z?n?mit],a.已死的;无生命的;无生气的;没精神的
,exasperate,[iɡ'zɑ:sp?reit],v.激怒，使恼怒
,excavate,['eksk?veit],v.挖掘；挖出
,excavation,[?eksk?'vei??n],n.挖掘
,exceed,[ik'si:d],v.超过；超出
,exceedingly,[ik'si:di?li],"ad.极端地,非常"
,excel,[ik'sel],v.善于，擅长于
,excellent,['eks?l?nt],"a.卓越的,极好的"
,except,[ik'sept],prep.除…之外 v.除外;反对
,exception,[ik'sep??n],"n.例外,除外;反对;异议"
,exceptionable,[ik'sep??n?bl],a.引起反感的
,exceptional,[ik'sep??nl],a.特别(好)的
,exceptionally,[ik'sep??n?li],ad.特殊地;异常地
,excerpt,['eks?:pt],n.摘录，选录，节录
,excess,['ekses],n.过分，过度
,excessive,[ik'sesiv],a.过多的;过分的;额外
,exchange,[iks't?eind?],"v./n.(for)交换,兑换;交流,交易;交换台"
,exchequer,[iks't?ek?],n.国库；财源
,excise,[ek'saiz],v.切除，删去
,excitability,"[ik,sait?'biliti]",n.易兴奋性，易激动性
,excite,[ik'sait],"v.刺激,使激动;激发,激励"
,excitement,[ik'saitm?nt],"n.刺激,激动,兴奋"
,exciting,[ik'saiti?],"a.令人兴奋的,使人激动的"
,exclaim,[iks'kleim],v.惊叫，呼喊
,exclamation,"[,ekskl?'mei??n]",n.惊叹词；惊呼
,exclude,[iks'klu:d],v.排斥；排除
,exclusion,[iks'klu:??n;ik'sklu:??n],"n.排除,逐出"
,exclusionary,[iks'klu:??n;ik'sklu:??n],a.排斥的
,exclusive,[iks'klu:siv],a.(人)孤僻的；(物)专用的
,exclusively,[iks'klu:sivli;ik'sklu:sivli],"ad.排外地,专有地"
,excogitate,[eks'k?d?iteit],v.认真想出
,excoriate,[eks'k?:rieit],v.撕去皮；严厉批评
,excrete,[eks'kri:t],v.排泄，分泌
,excruciate,[iks'kru:?ieit],v.施酷刑，拷问，折磨
,exculpate,['eksk?lpeit],v.开脱，申明无罪
,excursion,[iks'k?:??n],n.短途旅游
,excursive,[iks'k?:siv],a.离题的
,excuse,"[ik'skju:z, ik'skju:s]","v.原谅,宽恕,免除 n.借口,辩解"
,execrable,['eksikr?bl],a.极坏的
,execrate,['eksikreit],v.憎恶；咒骂
,execration,[?eksi'krei??n],n.憎恨，厌恶
,execute,['eksikju:t],v.执行，履行；将某人处死
,execution,[?eksi'kju:??n],n.执行;履行;处死刑
,executioner,[?eksi'kju:??n?],n.刽子手
,executive,[iɡ'zekjutiv],"n.总经理,董事,行政负责人 a.执行的,实施的"
,exemplary,[iɡ'zempl?ri],a.可作楷模的
,exemplify,[iɡ'zemplifai],v.是?的典型；举出?的例子
,exempt,[iɡ'zempt],a.被免除的；v.使免除
,exemption,[ig'zemp??n],"n.解除,免除"
,exercise,['eks?saiz],"n.练习,习题;训练,锻练 v.训练,锻练;行使"
,exert,[iɡ'z?:t],v.运用(力量等)
,exertion,[ig'z?:??n],"n.尽力,努力"
,exhalation,[?eksh?'lei??n;?eks?'lei??n],n.呼气;蒸发;散发
,exhale,[eks'heil],v.呼出(气)
,exhaust,[iɡ'z?:st],n.(机器排出的)废气，蒸气；v.使非常疲倦
,exhausted,[ig'z?:stid],a.精疲力尽的
,exhausting,[ig'z?:sti?],"a.使用尽的,令人疲乏不堪的"
,exhaustive,[iɡ'z?:stiv],a.彻底的，无遗漏的
,exhibit,[iɡ'zibit],"v.展出,陈列 n.展览品,陈列品"
,exhibition,"[,eksi'bi??n]","n.展览会;陈列,展览"
,exhilarate,[iɡ'zil?reit],v.使高兴
,exhilarating,[ig'zil?reiti?;ig'zil??reiti?],"a.爽快的,使人愉快的"
,exhilaration,"[iɡ,zil?'rei??n]",n.高兴，活跃
,exhort,[iɡ'z?:t],v.力劝，劝告
,exhume,[eks'hju:m],v.掘出，发掘
,exigency,[ek'sid??nsi;'eks?d??nsi],n.紧急(状态);危急(关头);事变
,exigent,['eksid??nt],a.需要立即采取行动的
,exiguous,[eɡ'ziɡju?s],a.太少的，不足的
,exile,"['eɡzail, 'eksail]",n.流放；被流放者 vt.流放，放逐，把…充军
,exist,[iɡ'zist],v.存在;生存;生活
,existence,[iɡ'zist?ns],"n.存在,实在;生存,生活(方式)"
,existential,"[,eɡzis'ten??l]",a.有关存在的，存在主义的
,exit,"['eksit, 'eɡ zit]","n.出口,通道"
,exodus,['eks?d?s],n.大批离去，成群外出
,exogenous,[ek's?d?in?s;eks'?d?in?s],a.外生的;外源的;外因的
,exonerate,[iɡ'z?n?reit],v.免除责任；确定无罪
,exoneration,[ig?zɑn?'re??n],"n.免除责任,确定无罪"
,exorbitant,[iɡ'z?:bit?nt],a.过分的，过度的
,exorcise,['eks?:saiz],v.驱魔；去除(坏念头等)
,exotic,[iɡ'z?tik],a.珍奇的；来自异国的
,exotoxin,[?eks?u't?ksin],n.外毒素
,expand,[iks'p?nd],v.扩大，膨胀
,expanding,[iks'p?ndi?;ik'sp?ndi?],"a.扩大的,增加的"
,expanse,[ik'sp?ns],n.广阔的区域
,expansion,[ik'sp?n??n],"n.扩张,膨胀;张开,伸展"
,expansive,[iks'p?nsiv],a.(指人)健谈的，开朗的；可扩大的，可伸展的
,expatiate,[eks'pei?ieit],v.细说，详述
,expatriate,[eks'p?trieit],v.驱逐出国；脱离国籍
,expect,[ik'spekt],"v.预期;期望,指望"
,expectation,"[,ekspek'tei??n]","n.预期,期望,指望"
,expectorate,[eks'pekt?reit;ek'spekt??reit],"v.咳出(痰);吐(血,唾液等)"
,expediency,[ik'spi:di?nsi],n.(未必正当的)便利；有益但未必正当的举措，权宜之计
,expedient,[iks'pi:di?nt],n.权宜之计，(未必正当的)临时手段；a.(指行动)有用的
,expedite,['ekspidait;'ekspi?dait],"v.使加速,促进"
,expedition,"[,ekspi'di??n]","n.远征(队),探险(队)"
,expeditious,[ekspi'di??s],a.迅速的，敏捷的
,expel,[iks'pel],v.排出；开除
,expend,[iks'pend],v.花费；用光
,expenditure,[iks'pendit??],n.消耗，支出
,expense,[ik'spens],"n.花费,消费,消耗"
,expensive,[ik'spensiv],"a.花费的,昂贵的"
,experience,[ik'spi?ri?ns],n./vt.经验;经历;体验;阅历
,experiment,"[ik'speriment, ek's-]",n.实验;试验 v.(on)进行实验;做试验
,experimental,"[ek,speri'ment?l, ek's-]","a.实验(性)的,试验(性)的"
,experimentation,[ik?sperimen'tei?n],"n.实验,试验;实验法"
,expert,"['eksp?:t, ek'sp?:t]","n.专家,能手 a.熟练的,有经验的;专门的"
,expertise,"[,eksp?'ti:z]",n.专门技术，专业知识
,expiate,['ekspieit],v.赎罪，补偿
,expiation,[?ekspi'ei??n],n.赎罪，补偿
,expiration,"[,ekspai?'rei??n]",n.期满，终止
,expire,[iks'pai?],v.期满；去世
,explain,[ik'splein],"v.解释,说明"
,explanation,"[,ekspl?'nei??n]","n.解释,说明"
,expletive,[eks'pli:tiv;'eksplitiv],"n.感叹词,咒骂语"
,explicable,['eksplik?bl],a.可解释的
,explicate,['eksplikeit],v.详细解说（思想、作品等）
,explicit,[iks'plisit],a.清楚明确的；成熟的，成型的
,explode,[ik'spl?ud],"v.(使)爆炸,(使)爆发"
,exploit,[iks'pl?it],v.剥削；开发利用；n.英勇行为
,exploitation,[?ekspl?i'tei??n],"n.开发,开采;剥削;利用"
,exploration,[?ekspl?:'rei??n;?ekspl?'rei??n],"n.探究,探索;钻研;考察;测定;探险"
,explore,[ik'spl?:],"v.勘探,探测;探究,探索"
,explorer,[iks'pl?:r?;ik'spl?ur?],"n.探险家,探测者"
,explosion,[ik'spl?u??n],"n.爆炸,爆发"
,explosive,[iks'pl?usiv],n.炸药；a.(化)爆炸性的；使人冲动的
,exponent,[eks'p?un?nt],n.说明者，支持者；指数
,exponential,[?eksp?u'nen??l],"a.指数的,幂数的"
,exponentially,"[,eksp?u'nen??li]",adv.指数地；迅速增长地
,export,"[ik'sp?:t, 'eksp?:t]","v./n.输出,出口 n.出口商品"
,expose,[ik'sp?uz],"v.(to)使暴露,受到;使曝光"
,exposition,"[,eksp?'zi??n]",n.详细阐释；博览会
,expository,"[iks'p?zi,t?ri]",a.说明的
,expostulate,[iks'p?stjuleit],v.(对人或行为进行)抗议
,exposure,[iks'p?u??],n.暴露，显露，曝光
,expound,[iks'paund],v.解释，详细阐述
,express,[ik'spres],"v.表达,表示 a.特快的,快速的 n.快车,快运"
,express business,,n.特快专递业务
,express train,,n.特快列车
,expression,[ik'spre??n],n.表达;表情;声调;腔调;榨出;措词;式;符号
,expressive,[iks'presiv;ik'spresiv],"a.有表现力的,富有表情的,生动的"
,expressly,[iks'presli],adv.清楚地；专门地，特意地
,expropriate,[eks'pr?uprieit],v.充公；没收
,expulsion,[iks'p?l??n],n.驱逐，开除
,expunge,[eks'p?nd?],v.(从书中)删除(字、词)
,expurgate,['eksp?:ɡeit],v.(从书中)删除(不当或令人反感的部分)
,exquisite,['ekskwizit],a.精致的；近乎完美的
,exscind,[ek'sind],"v.切除,切断"
,exsert,[ek's?:t],"vt.抽出,推出,使伸出;a.突出的"
,extant,[eks't?nt],a.现存的
,extemporaneous,"[eks,temp?'reinj?s]",a.即兴的，没有准备的
,extemporize,[eks'temp?raiz],v.即兴席演说
,extend,[iks'tend],v.延展，延长；舒展（肢体）
,extended,[iks'tendid],"a.延长的,扩大的"
,extension,[ik'sten??n],n.延长;扩大;范围;大小;尺寸;电话分机
,extensive,[ik'stensiv],"a.广大的,广阔的"
,extent,[ik'stent],"n.广度,宽度,长度;程度,限度"
,extenuate,[iks'tenjueit],v.（提出借口以）减轻罪过
,exterior,[ik'sti?ri?],"a.外部的,外面的 n.外部"
,exterminate,[iks't?:mineit],v.消灭，灭绝(种族、人、动物)
,external,[ik'st?:n?l],a.外部的;客观的;外国的;表面的;[医]外用的
,externalize,"[eks't?:n?,laiz]",v.使?表面化
,extinct,[iks'ti?kt],a.绝种的，不存在的
,extinction,[iks'ti?k??n],n.熄灭；消灭
,extinguish,[iks'ti?ɡwi?],v.使?熄灭；使?不复存在
,extirpation,"[,ekst?'pei?n]",n.根除，铲除（某实物或现象）
,extol,[iks't?l],v.赞美
,extort,[iks't?:t;ik'st?:t],"v.勒索,敲诈"
,extra,['ekstr?],"a.额外的,附加的 n.附加物,额外的东西"
,extract,"[iks'tr?kt,",'ekstr?kt]v.拔出；强索(钱或信息)
,extradite,['ekstr?dait],v.引渡回国，拿获归案
,extraneous,[eks'treinj?s],a.来自外部的；无关的
,extraordinary,[ik'str?:d?n?ri],a.非常的;格外的;意外的;离奇的;临时的
,extrapolate,[eks'tr?p?leit],v.由已知事实预测，推测；(数)由已知值推出未知量
,extrapolation,[iks?tr?p?'lei??n],"n.预测,推测"
,extraterrestrial,[?ekstr?ti'restri?l],"a.地球外的,地球大气圈外的"
,extravagance,[ik'str?v?ɡ?ns],n.奢侈，挥霍
,extravagant,[ik'str?v?ɡ?nt],a.奢侈的;过分的;(言行等)放肆的
,extreme,[ik'stri:m],"a.末端的,尽头的;极度的 n.极端;最大程度"
,extremely,[iks'tri:mli;ik'stri:mli],"ad.极其,非常"
,extremist,[iks'tri:mist],n.极端主义者
,extremity,[iks'tremiti;ik'strem?ti],"n.末端;极端,极度"
,extricable,['ekstrik?bl],a.可解救的，能脱险的
,extricate,['ekstrikeit],v.拯救，救出
,extrinsic,[eks'trinsik],a.外来的，外在的，外部的
,extrovert,['ekstr?uv?:t],n.性格外向者
,extrude,[eks'tru:d],v.挤出，逐出；突出
,exuberance,[iɡ'zju:b?r?ns],n.(人)愉快；(植物)茁壮，茂盛
,exuberant,[iɡ'zju:b?r?nt],a.(人)充满活力的；(植物)茂盛的
,exudate,['eks??deit],"n.渗出物,渗出液"
,exude,[iɡ'zju:d],v.(液体)使慢慢流出；四溢
,exult,[iɡ'z?lt],v.欢腾，喜悦
,exultant,[iɡ'z?lt?nt],a.非常高兴的，欢跃的
,eye,[ai],n.眼(睛)；视力；眼力；监督vt.看，审视
,eye-catching,['ai?k?t?i?],"a.引人注目的,耀眼的"
,eyebrow,['aibrau],n.眉毛
,eyelid,['ailid;'ai?lid],n.眼睑
,eyesight,['aisait],n.视力
,eyesore,['ais?:;'ai?s?:],"n.剌眼的东西,眼中钉"
,eyewitness,['ai'witnis],"n.目击者,见证人"
,fable,['feibl],n.寓言
,fabric,['f?brik],n.纺织品；结构
,fabricate,['f?brikeit],v.捏造；制造
,fabrication,[?f?bri'kei??n],"n.制作,装配;捏造,伪造"
,fabulous,['f?bjul?s],a.难以置信的；寓言里的
,facade,[f?'sɑ:d],n.建筑物的正面；(虚伪)外表
,face,[feis],"n.脸,面貌;表情;正面 v.面对着;朝,面向"
,facelift,['feislift],"n.改建,表面修改"
,facet,['f?sit],n.(宝石等的)小平面；侧面
,facetious,[f?'si:??s],a.（不当）轻浮的，好开玩笑的
,facile,['f?sail],a.容易做成的；肤浅的
,facilitate,[f?'siliteit],v.使容易，促进
,facilitation,[f??sili'tei?n;f??sil?'tei??n],"n.促进,帮助"
,facilities,[f?'sil?tiz],n.(使事情便利的)设备、工具
,facility,[f?'siliti],"n.灵巧,熟练;(pl.)设备,设施,便利条件"
,facsimile,[f?k'simili],n.复制本，摹本
,fact,[f?kt],"n.事实,实际"
,faction,['f?k??n],n.派系；派系斗争
,factitious,[f?k'ti??s],a.人为的，不真实的
,factor,['f?kt?],"n.因素,要素"
,factorable,[f?k't?r?bl],a.能分解成因子的
,factory,['f?kt?ri],n.工厂
,factotum,[f?k't?ut?m],n.杂役，杂工
,factual,['f?ktju?l],a.真实的，事实的
,faculty,['f?k?lti],n.全体教员；感官功能
,fad,[f?d],n.(流行一时的)狂热，时尚
,faddish,['f?di?],a.流行一时的，时尚的
,fade,[feid],v.褪色，消失，凋谢
,fag,[f?ɡ],v.苦干；n.苦工
,Fahrenheit,"['f?r?nhait, 'fɑ:r-]",a.华氏(温标)的;n.华氏温度计
,fail,[feil],"v.失败,不及格;衰退,减弱"
,fail-safe,[feil'seif],n.自动防故障装置
,failure,['feilj?],"n.失败,不及格;失败者;故障,失灵;未能"
,faint,['feint],a.微弱的;不明显的;暗淡的 n./v.昏倒;昏晕
,fainthearted,['feint'hɑ:tid],a.懦弱的，无精神的；胆小的
,fair,[fε?],"a.公平的,合理的;相当的 n.集市,交易会"
,fair-minded,['fe?'maindid],a.公平的，公正的
,fairly,['fε?li],"ad.公正地,正当地;相当,还算"
,fairy,['fε?ri],a.幻想中的;虚构的;优雅的 n.仙女;精灵
,faith,[feiθ],"n.信任,信用;信仰,信条"
,faithful,['feiθful],"a.守信的,忠实的,如实的,可靠的"
,faithfulness,['feiθf?lnis],"n.忠诚,诚实"
,fake,[feik],v.伪造；佯装
,falcon,['f?lk?n],n.猎鹰；隼
,falconer,['f?:lk?n?;'f?lk?n?r],"n.养猎鹰者,放鹰狩猎人"
,fall,[f?:l],"v.跌倒;下降;减弱;坠落;变成,陷于 n.秋季"
,fallacious,[f?'lei??s],a.欺骗的；谬误的
,fallacy,['f?l?si],n.谬误，错误
,fallibility,"[,f?li'biliti]",n.易于出错，出错性
,fallible,['f?l?bl],a.（人）会犯错的，易犯错的
,fallout,['f?:laut;'f?:l?aut],n.[原]微粒回降;放射性尘埃
,fallow,['f?l?u],n.休耕地；a.(土地)休耕的
,false,,"a.谬误的,虚伪的,伪造的,假的"
,falsehood,['f?:lshud],n.谎言
,falsify,"['f?:lsi,fai]",v.篡改；说谎
,falter,['f?:lt?],v.摇晃，蹒跚；结巴地说，支吾地说
,fame,[feim],n.名声;名望;传说 vt使出名;传扬…的名
,familial,[f?'milj?l],a.家庭的;家族的
,familiar,[f?'milj?],a.熟悉的;通晓的;亲近的 n.熟客;密友
,familiarity,"[f?,mili'?riti]",n.精通；亲近；不拘礼仪
,family,['f?mili],"n.家,家庭成员;氏族,家庭;族,科"
,famine,['f?min],n.饥荒
,famish,['f?mi?],v.使饥饿
,famous,['feim?s],a.著名的
,fan,[f?n],"n.扇子,风扇;(影,球等)迷 v.扇,扇动,激起"
,fanatic,[f?'n?tik],n.狂热者
,fanatical,[f?'n?tik?l;f?'n?t?k?l],"a.狂热的,盲信的"
,fanaticism,[f?'n?tisiz?m;f?'n?t??siz?m],"n.狂热,盲信"
,fancied,['f?nsid],a.空想的，虚构的
,fanciful,['f?nsif?l],a.爱空想的
,fancy,['f?nsi],"n.爱好,迷恋 v.想象,幻想 a.花式的,奇特的"
,fanfare,['f?nfe?],n.夸耀性游行；嘹亮的喇叭声
,fang,[f??],n.(毒蛇的)尖牙
,fantasia,[f?n'teizj?],n.幻想曲；组合乐曲
,fantastic,[f?n't?stik],"a.(fantastical)奇异的,幻想的,异想天开的"
,fantasy,['f?nt?si],n.想象，幻想
,far,[fɑ:],a./ad.远，久远，遥远 ad.到…程度，…得多
,far-fetched,,"a.夸张的;牵强的(不自然的,因含不可能因素而不易被信的)"
,far-reaching,[fɑ:'ri:t?i?],a.影响深远的
,farce,[fɑ:s],n.闹剧；荒谬，胡闹
,farcical,['fɑ:sik?l],a.荒谬的
,fare,[fε?],"n.车费,船费;伙食;乘客 v.过活;进展;经营"
,farewell,['fe?'wel],interj.再会，再见；n.辞行，告别
,farm,[fɑ:m],"n.农场,饲养场 v.种田,经营农牧业"
,farmer,['fɑ:m?],"n.农民,农场主"
,farrow,['f?r?u],v.(母猪)生产；n.一窝小猪
,farther,['fɑ:??],"ad.更远地,再往前地 a.更远的"
,farthest,['fɑ:?ist],a./ad.最远的(地)
,fascia,['f??i?],n.饰带；(商店上挂的)招牌
,fascinate,['f?sineit],v.迷惑，迷住
,fascinating,['f?sineiti?;'f?s?n?eiti?],"a.迷人的,醉人的"
,fascination,[?f?sinei??n;?f?s?n'ei??n],"n.入迷,迷恋;魅力"
,fashion,['f???n],"n.流行式样(或货品),风尚,风气;样子,方式"
,fashionable,['f???n?bl],"a.流行的,时髦的"
,fast,[fɑ:st],n.绝食，斋戒；adv.很快地，紧紧地
,fasten,['fɑ:sn],v.使?固定(tofixsth.firmly)
,fastener,['fɑ:sn?],"n.扣件;钮扣,钩扣;扣钉"
,fastidious,[f?s'tidi?s],a.难取悦的，挑剔的
,fastness,['fɑ:stnis],n.要塞，城堡
,fat,[f?t],a.多脂肪的，肥胖的；丰厚的n.脂肪，肥肉
,fatal,['feitl],a.致命的；灾难性的
,fatality,[f?'t?liti;f?'t?l?ti],n.命运决定的事物;死亡事故;致命性
,fate,['feit],n.命运
,fateful,['feitf?l],"a.重大的,决定性的"
,father,['fɑ:??],n.父亲；创始人，发明者；(Father)神父
,fathom,['f???m],n.英寻(量水深用，相当于.米)；v.彻底明白，了解
,fatidic,[f?'tidik],a.预言的
,fatigue,[f?'ti:ɡ],n.疲乏，劳累
,fatten,['f?t?n],v.使长肥；使土壤肥沃；装满
,fatuity,[f?'tju(:)iti],n.愚蠢，愚昧
,fatuous,['f?tju?s],a.愚昧而不自知的
,faucet,['f?:sit],n.水龙头
,fault,[f?:lt],n.错误；(地质学)断层
,faultfinder,"['f?:lt,faind?]",n.喜欢挑剔的人
,faulty,['f?:lti],a.有错误的，有缺点的，不完善的
,fauna,['f?:n?],"n.动物群,动物区系"
,fava,['fɑ:v?],n.蚕豆
,favor,['feiv?],"n.(favour)好感;喜爱;关切v.赞成,支持,偏爱"
,favorable,['feiv?r?bl],a.有利的；赞成的
,favored,['feiv?d],a.首选的;受到优待的;受优惠的
,favorite,['feiv?rit],n.(favourite)最喜欢的人或物 a.喜爱的
,fawn,[f?:n],n.未满周岁的小鹿；v.巴结，奉承
,fax,[f?ks],n./v.传真(机)
,faze,[feiz],v.使?狼狈，使?慌张
,fealty,['fi:?lti],n.效忠
,fear,[fi?],n.害怕，恐惧；危险vt.畏惧，害怕，担心
,fearful,['fi?ful],a.可怕的，吓人的；害怕，担心，惊恐
,feasible,['fi:zibl],a.可行的，可能的
,feast,[fi:st],n.节日;宴会
,feat,[fi:t],n.功绩，壮举
,feather,['fe??],n.羽毛
,feature,['fi:t??],n.特色，特点，特征
,febrifuge,['febrifju:d?;'febri?fju:d?],n.退热药;解热药
,febrile,['fi:brail],a.发烧的，热病的
,February,,n.二月
,feces,['fi:si:z],n.粪便;排泄物;渣滓
,feckless,['feklis],a.效率低的；不负责任的；无长久目标、无长久计划的
,fecundity,[fi'k?nd?ti],n.多产，富饶；繁殖力，生殖力
,federal,['fed?r?l],a.联邦的;联邦制的;联合的;同盟的
,federation,['fed?rei??n],n.同盟;联邦;联合;联盟;联合会
,fee,[fi:],"n.费(会费,学费等);酬金"
,feeble,['fi:bl],a.虚弱的
,feed,[fi:d],"v.(on,with)喂养,饲养;(with)向…供给"
,feedback,['fi:db?k],n.(信息的)反馈
,feeder,['fi:d?],n.进料器
,feel,['fi:l],v.触；认为 vi.摸上去有…感觉；摸索；觉得
,feeling,['fi:li?],n.感情;心情;知觉;同情
,feign,[fein],v.假装，伪装
,feigned,[feind],a.假装的；不真诚的
,feint,[feint],v./n.佯攻，佯击
,feisty,['faisti],a.活跃的；易怒的
,felicitate,[fi'lisiteit],v.祝贺，庆祝
,felicitous,[fi'lisit?s],a.(话语等)适当的，得体的
,feline,['fi:lain],a.猫科的
,fell,[fel],n.兽皮；v.砍伐；a.凶猛的，可怕的
,fellow,['fel?u],"n.人,家伙;伙伴,同事 a.同样的,同事的"
,fellowship,['fel?u?ip],"n.伙伴关系;联谊会,团体"
,felon,['fel?n],n.重罪犯
,felony,['fel?ni],n.重罪
,female,['fi:meil],n.女性;女人;雌兽 a.女性的;雌的;柔弱的
,feminine,['feminin],a.女性的;娇柔的
,feminism,['feminiz?m;'fem?niz?m],n.女权运动
,feminist,['feminist],n.女权运动者
,femur,['fi:m?],n.股骨;大腿
,fence,['fens],n.篱笆;围栏;剑术 v.用篱笆瓦围住;击剑
,fencing,['fensi?],n.剑术，击剑法
,fender,['fend?],n.挡泥板；护舷的垫子等
,feral,['fi?r?l],a.凶猛的，野的
,ferment,['f?:m?nt],v./n.(使)发酵；骚动
,fermentation,"[,f?:men'tei??n]",n.发酵
,fern,[f?:n],n.羊齿植物，蕨
,ferocious,[f?'r?u??s],a.凶猛的，残暴的
,ferret,['ferit],n.雪貂；v.用雪貂猎取；搜寻
,ferromagnetic,[?fer?um?g'netik],"a.铁磁的,铁磁体"
,ferrous,['fer?s],a.含铁的
,ferry,['feri],n.渡船，渡口；v.运送
,fertile,['f?:tail],a.多产的；肥沃的
,fertilize,['f?:tilaiz],v.受精，受粉；施肥
,fertilized egg,,n.受精卵
,fertilizer,"['f?:ti,laiz?]",n.肥料，化肥
,fervent,['f?:v?nt],"a.炽热的,热烈的"
,fervid,['f?:vid],a.热情的
,fervor,['f?:v?],n.热诚，热心
,festal,['festl],a.节日的；欢乐的
,fester,['fest?],v.(指伤口)溃烂，化脓
,festival,['fest?v?l],n.节日;音乐节;戏剧节 a.节日的;快乐的
,festive,['festiv],a.欢乐的
,fetal,['fi:tl;'fi:t?l],a.胎儿的
,fetch,[fet?],v.取来;接来;引出;售得;吸引 n.取得;拿
,fetching,['fet?i?],a.动人的，迷人的
,fetid,['fetid],a.有恶臭的
,fetish,['fi:ti?],n.(崇拜的)神物，偶像
,fetter,['fet?],n./v.(带)脚镣；束缚
,fetus,['fi:t?s],n.胎儿
,feud,[fju:d],n.宿怨，不和
,feudal,['fju:dl],a.封建的;封地的;领地的
,fever,['fi:v?],"n.发热,狂热"
,feverish,['fi:v?ri?],"a.发烧的;狂热的,兴奋的"
,few,[fju:],a.[表肯定]有些，几个；[表否定]几乎没有的
,fiasco,[fi'?sk?u],n.大失败，惨败
,fiat,['fai?t],n.命令
,fiber,['faib?],n.(fibre)纤维;构造;纤维制品
,fibril,['faibril],n.原纤维
,fibrillation,[?fibri'lei??n;?fibr?'lei??n],n.纤维性颤动;原纤维形成作用
,fibrosis,[fai'br?usis],n.纤维变性;纤维化
,fibrous,['faibr?s],a.纤维的
,fickle,['fikl],a.(爱情或友谊上)易变的，不坚定的
,fiction,['fik??n],"n.虚构,编造;小说"
,fictional,['fik??nl;'fik??n?l],a.虚构的
,fictitious,[fik'ti??s],a.假的；虚构的
,fid,[fid],n.支撑材;硬木钉;[海]桅栓
,fidelity,[fi'deliti;fi'del?ti],"n.忠实,忠诚"
,fidget,['fid?it],v.坐立不安；n.烦躁之人
,field,['fi:ld],n.田野；运动场；(电或磁)场；领域，范围
,field research,,n.野外实地考察
,field studies,,n.实地考察
,fiend,[fi:nd],n.恶魔；魔鬼
,fierce,[fi?s],"a.凶猛的,残忍的;狂热的,强烈的"
